,TP53 (M),SMAD4 (M),SMAD4/18q (Del),TGFBR2 (M)
TP53 (M),1.24,-1.25,-0.47,-3.03
SMAD4 (M),-1.18,-1.09,-0.26,-1.97
SMAD4/18q (Del),-0.0,-0.25,0.55,-3.57
TGFBR2 (M),-1.76,-1.29,-2.41,-1.44
