,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ATM (M)
TP53 (M),1.11,-1.23,-0.05,-2.39
SMAD4 (M),-1.08,-1.07,-0.48,-0.99
SMAD4/18q (Del),-0.2,-0.0,0.59,-1.23
ATM (M),-1.37,-0.01,-1.65,-1.4
