,TP53 (M),SMAD4 (M),SMAD4/18q (Del),KMT2C (M)
TP53 (M),1.05,-1.06,-0.02,-2.28
SMAD4 (M),-1.52,-1.1,-0.0,-1.36
SMAD4/18q (Del),-0.29,-0.32,0.67,-2.96
KMT2C (M),-0.96,-1.16,-1.29,-1.83
