,TP53 (M),SMAD4 (M),SMAD4/18q (Del),EP300 (M)
TP53 (M),1.15,-1.12,-0.34,-2.18
SMAD4 (M),-1.37,-1.15,-0.0,-1.65
SMAD4/18q (Del),-0.01,-0.37,0.54,-2.81
EP300 (M),-1.44,-0.89,-1.99,-1.69
