,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ARID1A/1p (Del)
TP53 (M),1.13,-0.75,0.59,-2.85
SMAD4 (M),-1.77,-0.95,-0.08,-0.4
SMAD4/18q (Del),0.0,0.0,0.29,1.06
ARID1A/1p (Del),-0.44,-1.22,-0.0,-0.6
