,TP53 (M),SMAD4 (M),SMAD4/18q (Del),BCOR (M)
TP53 (M),1.03,-1.19,-0.0,-2.14
SMAD4 (M),-1.33,-1.19,-0.0,-0.95
SMAD4/18q (Del),-0.29,-0.34,0.67,-3.4
BCOR (M),-0.77,-0.33,-1.69,-2.04
