,TP53 (M),SMAD4 (M),SMAD4/18q (Del),B2M (M)
TP53 (M),1.18,-1.18,-0.39,-3.07
SMAD4 (M),-1.27,-1.19,-0.0,-1.58
SMAD4/18q (Del),-0.0,-0.36,0.54,-3.67
B2M (M),-1.17,-0.06,-1.76,-1.79
