,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ERBB2 (M)
TP53 (M),1.13,-1.07,-0.29,-2.67
SMAD4 (M),-1.41,-1.14,-0.0,-1.71
SMAD4/18q (Del),-0.0,-0.3,0.51,-2.55
ERBB2 (M),-1.09,-0.49,-0.81,-2.09
