,TP53 (M),SMAD4 (M),SMAD4/18q (Del),NCOR1 (M)
TP53 (M),1.1,-1.15,-0.28,-2.48
SMAD4 (M),-1.29,-1.21,-0.01,-1.2
SMAD4/18q (Del),-0.0,-0.31,0.49,-2.4
NCOR1 (M),-1.14,-0.2,-1.11,-2.43
