,TP53 (M),SMAD4 (M),SMAD4/18q (Del),SMARCA4 (M)
TP53 (M),1.15,-0.8,-0.38,-2.91
SMAD4 (M),-1.72,-1.04,-0.0,-1.06
SMAD4/18q (Del),-0.0,-0.21,0.52,-2.78
SMARCA4 (M),-1.27,-1.12,-1.46,-1.85
