,TP53 (M),SMAD4 (M),SMAD4/18q (Del),CTNNB1 (M)
TP53 (M),1.09,-0.67,-0.26,-0.9
SMAD4 (M),-1.84,-0.97,-0.15,-0.33
SMAD4/18q (Del),-0.0,-0.01,0.48,-0.81
CTNNB1 (M),-1.86,-0.54,-1.79,-1.06
