,TP53 (M),SMAD4 (M),SMAD4/18q (Del),CASP8 (M)
TP53 (M),1.06,-1.42,-0.04,-1.72
SMAD4 (M),-1.12,-1.27,-0.0,-1.2
SMAD4/18q (Del),-0.28,-0.44,0.67,-3.67
CASP8 (M),-1.66,-0.35,-3.34,-1.83
