,TP53 (M),SMAD4 (M),SMAD4/18q (Del),KRAS (M)
TP53 (M),1.45,-0.23,-0.1,-1.22
SMAD4 (M),-2.67,-0.58,-0.0,-0.66
SMAD4/18q (Del),-0.0,0.12,0.6,-0.51
KRAS (M),-2.84,-0.29,-0.53,1.21
