,TP53 (M),SMAD4 (M),SMAD4/18q (Del),SPEN (M)
TP53 (M),1.18,-1.16,-0.39,-3.02
SMAD4 (M),-1.32,-1.17,-0.01,-1.55
SMAD4/18q (Del),-0.0,-0.38,0.54,-3.51
SPEN (M),-1.3,-0.92,-1.91,-1.79
