,TP53 (M),SMAD4 (M),SMAD4/18q (Del),FBXW7/4q (Del)
TP53 (M),1.11,-1.98,-0.0,-2.15
SMAD4 (M),-0.39,-1.32,-0.49,-0.96
SMAD4/18q (Del),-0.01,-0.0,0.38,0.46
FBXW7/4q (Del),1.06,-0.71,-0.0,-1.71
