,TP53 (M),SMAD4 (M),SMAD4/18q (Del),PTPRS (M)
TP53 (M),1.1,-1.25,-0.0,-2.41
SMAD4 (M),-1.29,-1.17,-0.0,-1.2
SMAD4/18q (Del),-0.35,-0.37,0.76,-3.34
PTPRS (M),-0.84,-0.3,-1.31,-1.4
