,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ASXL1/20q (Amp)
TP53 (M),1.08,-0.84,-0.4,-0.0
SMAD4 (M),-1.13,-0.82,-0.0,-1.23
SMAD4/18q (Del),0.0,0.0,0.34,0.19
ASXL1/20q (Amp),-0.0,-0.94,0.01,0.69
