,TP53 (M),SMAD4 (M),SMAD4/18q (Del),PTCH1 (M)
TP53 (M),1.14,-1.19,-0.34,-2.64
SMAD4 (M),-1.24,-1.22,-0.01,-1.14
SMAD4/18q (Del),-0.0,-0.33,0.51,-2.95
PTCH1 (M),-1.29,-0.01,-1.71,-2.04
