,TP53 (M),SMAD4 (M),SMAD4/18q (Del),null
TP53 (M),1.04,-0.98,-0.24,0.0
SMAD4 (M),-1.36,-1.07,-0.34,0.0
SMAD4/18q (Del),-0.0,-0.03,0.43,0.0
null,0.0,0.0,0.0,0.0
