,TP53 (M),SMAD4 (M),SMAD4/18q (Del),PRKD1/14q (Del)
TP53 (M),1.02,-0.94,-0.01,-0.59
SMAD4 (M),-1.48,-1.03,-0.09,-0.75
SMAD4/18q (Del),-0.19,-0.0,0.38,1.5
PRKD1/14q (Del),0.0,-1.03,-0.0,-1.12
