,TP53 (M),SMAD4 (M),SMAD4/18q (Del),PIK3R1 (M)
TP53 (M),1.09,-1.01,-0.24,-1.37
SMAD4 (M),-1.31,-1.02,-0.4,-1.3
SMAD4/18q (Del),-0.0,-0.01,0.47,-1.16
PIK3R1 (M),-1.47,-0.77,-1.29,-1.89
