,TP53 (M),SMAD4 (M),SMAD4/18q (Del),PTPRT (M)
TP53 (M),1.08,-0.99,-0.24,-1.09
SMAD4 (M),-1.43,-1.12,-0.09,-0.64
SMAD4/18q (Del),-0.0,-0.18,0.48,-1.16
PTPRT (M),-1.35,-0.46,-1.39,-1.8
