,TP53 (M),SMAD4 (M),SMAD4/18q (Del),AMER1 (M)
TP53 (M),1.17,-1.32,-0.29,-2.64
SMAD4 (M),-1.1,-1.26,-0.02,-0.94
SMAD4/18q (Del),-0.0,-0.32,0.53,-2.2
AMER1 (M),-0.99,-0.0,-0.77,-1.71
