,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ARID1A (M)
TP53 (M),1.36,-1.34,-0.55,-4.08
SMAD4 (M),-1.14,-1.18,-0.02,-1.13
SMAD4/18q (Del),-0.0,-0.41,0.67,-4.24
ARID1A (M),-0.8,-0.9,-1.28,-0.97
