,TP53 (M),SMAD4 (M),SMAD4/18q (Del),RNF43 (M)
TP53 (M),1.37,-2.09,-0.56,-3.76
SMAD4 (M),-0.64,-1.5,-0.0,-0.59
SMAD4/18q (Del),-0.0,-0.45,0.68,-4.43
RNF43 (M),-0.8,0.0,-1.96,-0.93
