,TP53 (M),SMAD4 (M),SMAD4/18q (Del),MAPK3/16p (Amp)
TP53 (M),1.03,-0.72,-0.11,-0.42
SMAD4 (M),-1.78,-0.93,-0.17,-0.46
SMAD4/18q (Del),-0.11,-0.0,0.48,-0.0
MAPK3/16p (Amp),-0.0,-0.92,-0.35,-0.82
