,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ARID1B (M)
TP53 (M),1.04,-1.22,-0.01,-2.53
SMAD4 (M),-1.33,-1.18,-0.0,-1.71
SMAD4/18q (Del),-0.3,-0.38,0.66,-3.72
ARID1B (M),-0.95,-0.67,-1.71,-2.14
