,TP53 (M),SMAD4 (M),SMAD4/18q (Del),NOTCH1 (M)
TP53 (M),1.14,-1.07,-0.34,-2.47
SMAD4 (M),-1.4,-1.13,-0.03,-1.56
SMAD4/18q (Del),-0.0,-0.31,0.52,-2.98
NOTCH1 (M),-1.26,-1.06,-1.77,-1.9
