,TP53 (M),SMAD4 (M),SMAD4/18q (Del),ASXL1 (M)
TP53 (M),1.15,-0.96,-0.35,-3.52
SMAD4 (M),-1.52,-1.11,-0.01,-1.08
SMAD4/18q (Del),-0.0,-0.26,0.51,-3.44
ASXL1 (M),-1.05,-1.16,-1.05,-2.09
