,TP53 (M),SMAD4 (M),SMAD4/18q (Del),RAC1/7p (Amp)
TP53 (M),1.02,-1.04,-0.15,-0.0
SMAD4 (M),-1.25,-1.01,-0.0,-0.86
SMAD4/18q (Del),-0.03,-0.19,0.46,0.0
RAC1/7p (Amp),-0.79,-0.58,-0.72,0.48
