,TP53 (M),SMAD4 (M),SMAD4/18q (Del),MSH6 (M)
TP53 (M),1.19,-0.94,-0.44,-3.3
SMAD4 (M),-1.49,-1.12,-0.01,-0.8
SMAD4/18q (Del),-0.0,-0.24,0.53,-3.84
MSH6 (M),-1.3,-0.91,-1.97,-1.75
