,TP53 (M),SMAD4 (M),SMAD4/18q (Del),KMT2D (M)
TP53 (M),1.31,-1.07,-0.55,-2.87
SMAD4 (M),-1.37,-1.09,-0.01,-1.61
SMAD4/18q (Del),-0.0,-0.35,0.65,-3.62
KMT2D (M),-1.09,-0.15,-2.23,-0.96
