,TP53 (M),SMAD4 (M),SMAD4/18q (Del),POLE (M)
TP53 (M),1.1,-1.16,-0.28,-2.22
SMAD4 (M),-1.29,-1.21,-0.01,-1.31
SMAD4/18q (Del),-0.0,-0.33,0.49,-2.39
POLE (M),-1.17,-0.52,-1.45,-2.38
