,TP53 (M),SMAD4 (M),SMAD4/18q (Del),SOX9 (M)
TP53 (M),1.28,-1.06,-0.35,-3.53
SMAD4 (M),-1.34,-1.11,-0.0,-1.05
SMAD4/18q (Del),-0.0,-0.24,0.59,-2.66
SOX9 (M),-1.11,-0.33,-0.24,-1.17
