,TP53 (M),SMAD4 (M),SMAD4/18q (Del),FAT1 (M)
TP53 (M),1.14,-1.08,-0.32,-2.24
SMAD4 (M),-1.4,-1.14,-0.01,-1.47
SMAD4/18q (Del),-0.0,-0.33,0.54,-2.72
FAT1 (M),-1.05,-0.96,-1.6,-1.76
