,TP53 (M),SMAD4 (M),SMAD4/18q (Del),KMT2A (M)
TP53 (M),1.17,-1.18,-0.37,-3.22
SMAD4 (M),-1.31,-1.17,-0.01,-1.67
SMAD4/18q (Del),-0.0,-0.38,0.53,-3.49
KMT2A (M),-1.22,-1.09,-1.57,-1.9
