,TP53 (M),SMAD4 (M),SMAD4/18q (Del),NOTCH3 (M)
TP53 (M),1.16,-1.03,-0.36,-2.24
SMAD4 (M),-1.44,-1.13,-0.0,-1.27
SMAD4/18q (Del),-0.0,-0.32,0.54,-2.84
NOTCH3 (M),-1.47,-0.8,-2.04,-1.64
