,TP53 (M),SMAD4 (M),SMAD4/18q (Del),MTOR (M)
TP53 (M),1.11,-1.02,-0.28,-1.62
SMAD4 (M),-1.44,-1.14,-0.01,-1.01
SMAD4/18q (Del),-0.0,-0.26,0.5,-1.64
MTOR (M),-1.67,-0.58,-1.42,-1.73
