,TP53 (M),RB1 (M),RB1/13q (Del),APC (M)
TP53 (M),-0.29,1.07,-0.33,-0.01
RB1 (M),0.0,-3.18,0.0,-0.0
RB1/13q (Del),-0.12,0.0,-1.16,-0.37
APC (M),-0.69,-0.0,-0.49,-3.15
