,TP53 (M),RB1 (M),RB1/13q (Del),KRAS (M)
TP53 (M),0.04,1.07,-0.64,-1.0
RB1 (M),-0.0,-2.84,0.0,-1.88
RB1/13q (Del),0.0,-0.08,-1.02,-0.64
KRAS (M),-2.36,-0.0,-2.75,0.1
