,TP53 (M),RB1 (M),RB1/13q (Del),SMARCA4 (M)
TP53 (M),-0.27,1.1,-0.41,-0.25
RB1 (M),0.0,-3.15,0.0,-0.68
RB1/13q (Del),-0.03,0.0,-1.16,-0.85
SMARCA4 (M),-1.19,-0.1,-0.68,-2.21
