,TP53 (M),RB1 (M),RB1/13q (Del),KEAP1 (M)
TP53 (M),-0.25,0.61,-0.04,-0.71
RB1 (M),0.52,-3.36,0.0,-0.97
RB1/13q (Del),-0.41,0.0,-1.01,-0.8
KEAP1 (M),-1.54,-0.5,-0.87,-1.56
