,EGFR (M),MET (M),KRAS (M),BRAF (M),NF1 (M)
EGFR (M),-0.05,-3.43,-5.55,-2.97,-2.83
MET (M),-3.49,-2.11,-2.46,-1.71,-0.77
KRAS (M),-5.58,-2.64,0.14,-2.48,-1.96
BRAF (M),-3.0,-1.75,-2.12,-1.98,-0.5
NF1 (M),-2.91,-0.81,-1.43,-0.51,-1.95
