,EGFR (M),MET (M),KRAS (M),BRAF (M),ERBB2 (M)
EGFR (M),-0.05,-3.48,-5.58,-3.05,-2.86
MET (M),-3.51,-2.09,-2.51,-1.78,-1.34
KRAS (M),-5.59,-2.67,0.15,-2.47,-3.28
BRAF (M),-3.06,-1.82,-2.26,-1.93,-1.74
ERBB2 (M),-2.79,-1.33,-3.26,-1.68,-2.18
