,EGFR (M),MET (M),KRAS (M),BRAF (M),STK11 (M)
EGFR (M),0.03,-3.57,-5.39,-2.92,-3.42
MET (M),-3.58,-2.02,-2.22,-1.69,-2.1
KRAS (M),-5.62,-2.9,0.18,-1.97,-1.37
BRAF (M),-3.08,-1.82,-2.61,-1.93,-0.31
STK11 (M),-3.79,-2.41,-0.0,-1.06,-1.28
