,EGFR (M),MET (M),KRAS (M),BRAF (M),RB1 (M)
EGFR (M),-0.13,-3.38,-5.49,-3.01,-0.64
MET (M),-3.48,-2.16,-2.48,-1.72,-0.0
KRAS (M),-5.49,-2.55,0.07,-2.34,-1.28
BRAF (M),-2.95,-1.77,-2.22,-1.99,-0.39
RB1 (M),-0.07,-0.0,-1.32,-0.67,-2.84
