,T0,T1,T2,A_1
T0,-0.78,-1.15,0.44,-0.0
T1,-0.0,-2.03,0.0,-0.07
T2,0.0,0.48,-2.07,-0.33
A_1,-0.24,-1.42,-0.38,-1.99
