,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),MET (M)
TP53 (M),-0.25,1.12,-0.39,-0.04,-0.94
RB1 (M),0.0,-3.18,0.0,-0.0,0.01
RB1/13q (Del),-0.06,0.0,-1.17,-0.0,-0.77
ATRX (M),-0.81,-0.0,-0.23,-3.17,-0.55
MET (M),-1.18,0.0,-0.61,-0.2,-2.7
