,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),TERT/5p (Amp)
TP53 (M),-0.13,1.26,-0.19,-0.0,-0.85
RB1 (M),0.0,-3.33,0.08,-0.0,0.33
RB1/13q (Del),-0.05,0.0,-1.04,-0.0,-0.61
ATRX (M),-0.7,-0.0,-0.09,-3.11,-0.51
TERT/5p (Amp),-0.07,0.0,-0.14,-0.01,-0.56
