,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),BRAF (M)
TP53 (M),-0.32,1.07,-0.12,-0.0,-0.03
RB1 (M),0.0,-3.18,0.07,-0.0,-0.35
RB1/13q (Del),-0.31,0.0,-1.1,-0.0,-0.17
ATRX (M),-0.97,-0.0,-0.17,-3.21,0.67
BRAF (M),-1.86,-0.0,-1.28,0.0,-2.37
