,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),SMAD4 (M)
TP53 (M),-0.3,1.08,-0.23,-0.01,-0.22
RB1 (M),0.0,-3.19,0.02,-0.0,-0.0
RB1/13q (Del),-0.2,0.0,-1.13,-0.0,-0.35
ATRX (M),-0.9,-0.0,-0.19,-3.17,-0.11
SMAD4 (M),-1.22,-0.0,-0.77,-0.02,-2.93
