,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),KMT2D (M)
TP53 (M),-0.31,1.07,-0.15,-0.05,-0.0
RB1 (M),0.0,-3.17,0.05,-0.0,-1.18
RB1/13q (Del),-0.27,0.0,-1.11,-0.01,-0.39
ATRX (M),-0.86,-0.0,-0.18,-3.19,0.0
KMT2D (M),-0.29,-1.0,-0.64,0.0,-3.22
