,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),APC (M)
TP53 (M),-0.3,1.07,-0.24,-0.08,-0.03
RB1 (M),0.0,-3.19,0.01,-0.0,-0.0
RB1/13q (Del),-0.19,0.0,-1.14,-0.0,-0.41
ATRX (M),-0.81,-0.0,-0.21,-3.2,0.0
APC (M),-0.67,-0.0,-0.44,0.0,-3.17
