,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),CDKN2A/9p (Del)
TP53 (M),-0.23,1.09,-0.11,-0.0,-0.35
RB1 (M),0.0,-2.97,0.5,-0.0,-1.73
RB1/13q (Del),-0.23,-0.0,-1.3,-0.0,0.53
ATRX (M),-0.89,-0.0,-0.03,-3.04,-0.69
CDKN2A/9p (Del),-1.13,-0.51,-0.0,-0.26,-0.39
