,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),RBM10 (M)
TP53 (M),-0.19,1.11,-0.37,-0.03,-1.11
RB1 (M),0.0,-3.13,0.0,-0.0,-0.74
RB1/13q (Del),-0.09,0.0,-1.12,-0.0,-0.76
ATRX (M),-0.7,-0.0,-0.18,-3.23,-0.0
RBM10 (M),-1.56,-0.03,-0.9,-0.0,-1.55
