,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),KEAP1 (M)
TP53 (M),-0.25,1.02,-0.02,-0.01,-0.99
RB1 (M),0.0,-3.12,0.08,-0.0,-1.37
RB1/13q (Del),-0.45,0.0,-0.98,-0.0,-1.32
ATRX (M),-0.83,-0.0,-0.08,-3.21,0.01
KEAP1 (M),-1.15,-0.36,-0.46,0.0,-1.67
