,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),EGFR/7p (Amp)
TP53 (M),-0.31,0.97,-0.17,-0.0,-0.01
RB1 (M),0.0,-3.33,0.0,-0.0,0.43
RB1/13q (Del),-0.27,0.0,-1.12,-0.1,-0.0
ATRX (M),-0.78,-0.0,-0.0,-3.07,-0.9
EGFR/7p (Amp),-0.0,-0.0,-0.32,-0.12,-0.79
