,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),SMARCA4 (M)
TP53 (M),-0.27,1.1,-0.34,-0.09,-0.32
RB1 (M),0.0,-3.15,0.0,-0.0,-0.7
RB1/13q (Del),-0.09,0.0,-1.14,-0.0,-0.92
ATRX (M),-0.74,-0.0,-0.21,-3.21,0.0
SMARCA4 (M),-1.06,-0.14,-0.62,0.0,-2.24
