,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),MCL1/1q (Amp)
TP53 (M),-0.27,1.08,-0.01,-0.0,-0.21
RB1 (M),0.0,-3.35,0.04,-0.0,0.41
RB1/13q (Del),-0.4,0.0,-1.08,-0.12,0.0
ATRX (M),-0.91,-0.0,-0.0,-3.12,-0.29
MCL1/1q (Amp),-1.49,0.0,-0.65,-0.0,-0.16
