,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),ARID2 (M)
TP53 (M),-0.3,1.06,-0.23,-0.07,0.0
RB1 (M),0.0,-3.18,0.02,-0.0,-0.15
RB1/13q (Del),-0.19,0.0,-1.13,-0.0,-0.57
ATRX (M),-0.8,-0.0,-0.2,-3.2,0.0
ARID2 (M),0.0,-0.26,-0.56,0.0,-3.35
