,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),SETD2 (M)
TP53 (M),-0.27,1.07,-0.3,-0.07,-0.66
RB1 (M),0.0,-3.15,0.01,-0.0,-1.54
RB1/13q (Del),-0.13,0.0,-1.15,-0.01,-0.41
ATRX (M),-0.77,-0.0,-0.2,-3.2,-0.32
SETD2 (M),-1.67,-0.79,-1.1,-0.01,-2.52
