,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),PIK3CA (M)
TP53 (M),-0.25,1.09,-0.44,-0.13,-0.46
RB1 (M),0.08,-3.3,0.0,-0.0,1.07
RB1/13q (Del),-0.01,0.01,-1.18,-0.0,-0.93
ATRX (M),-0.67,-0.0,-0.26,-3.22,0.0
PIK3CA (M),-1.23,0.0,-0.0,-0.0,-2.54
