,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),NF1 (M)
TP53 (M),-0.3,1.05,-0.2,-0.03,-0.3
RB1 (M),0.0,-3.19,0.03,-0.0,-0.0
RB1/13q (Del),-0.22,0.0,-1.12,-0.0,-0.34
ATRX (M),-0.88,-0.0,-0.19,-3.18,-0.0
NF1 (M),-0.0,-0.16,-0.52,-0.0,-2.69
