,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),KRAS (M)
TP53 (M),0.05,1.06,-0.62,-0.0,-1.06
RB1 (M),-0.0,-2.83,0.0,-0.0,-2.0
RB1/13q (Del),0.0,-0.1,-1.02,0.0,-0.64
ATRX (M),-0.3,-0.0,-0.16,-3.63,0.67
KRAS (M),-2.16,-0.0,-2.72,-0.0,0.08
